text,real,ml_pred,wazuh_pred
Feb 17 17:02:07 ubuntu-victima sshd[3198]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 45562 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:07:29 ubuntu-victima sshd[2283]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 44950 ssh2 [preauth]  root ,1,1,0
Feb 17 16:55:14 ubuntu-victima sshd[3003]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 56190 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:14:40 ubuntu-victima sshd[3559]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 17:18:53 ubuntu-victima sshd[3689]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 60664 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:04:38 ubuntu-victima sshd[2195]: Failed password for root from 192.168.1.50 port 54918 ssh2  root ,1,1,0
Feb 16 18:51:32 ubuntu-victima sshd[3682]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 58660 ssh2 [preauth]  root ,1,1,0
Feb 17 17:25:01 ubuntu-victima sshd[3872]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 57478 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:46:57 ubuntu-victima sshd[2723]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 54916 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:56:46 ubuntu-victima sshd[3053]: Failed password for vboxuser from 192.168.1.50 port 43372 ssh2  vboxuser ,1,1,0
Feb 17 16:04:52 ubuntu-victima sshd[2199]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 54946 ssh2 [preauth]  root ,1,1,0
Feb 16 18:15:52 ubuntu-victima sshd[2701]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 37510 ssh2 [preauth]  root ,1,1,0
Feb 17 13:29:33 ubuntu-victima sshd[4620]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 45350 ssh2 [preauth]  root ,1,1,0
